L0,L1,L2..L6,R0,R2..,R6
433,731,959,802,996,722,464,357,1622,1300,668,609,529,393
472,871,1211,762,877,676,472,389,1802,1127,627,539,515,368
439,799,1111,675,787,603,436,363,1732,1299,606,655,535,364
463,784,1043,649,692,611,435,377,1568,1159,578,651,507,380
425,800,1051,632,642,549,425,378,1741,1001,623,779,497,354
401,770,932,750,600,558,462,382,1597,888,645,743,474,350
422,850,813,698,540,512,422,414,1685,1154,757,666,484,366
398,820,762,796,604,493,436,412,1557,1050,693,576,478,345
398,823,809,731,558,498,411,387,1613,918,621,545,427,370
387,743,873,639,578,483,440,367,1417,1267,623,539,428,353
383,839,851,674,530,519,411,337,1598,1164,562,483,437,347
365,884,850,643,562,508,394,345,1678,1101,546,471,428,345
397,968,1031,666,552,492,423,365,1598,977,608,529,416,351
401,908,1115,675,587,507,400,374,1711,1325,754,478,434,362
414,796,1125,643,587,469,393,380,1635,1222,694,482,409,333
462,913,1081,711,532,509,397,431,1759,1061,616,483,407,344
438,829,1062,662,519,473,398,405,1634,905,600,443,400,352
455,840,1087,642,559,501,450,405,1782,1281,707,424,418,397
432,867,991,575,545,489,419,368,1676,1187,652,412,429,385
416,864,884,630,554,452,391,414,1804,1137,673,397,425,347
384,866,914,582,533,471,395,377,1588,1093,648,463,412,325
440,859,844,626,520,440,402,392,1856,955,571,431,376,324
412,860,752,681,496,441,376,356,1803,986,511,390,392,329
444,771,683,646,476,446,398,384,1550,895,743,450,401,338
415,821,960,674,498,442,407,418,1765,1170,703,443,395,338
419,811,896,642,462,434,408,389,1572,1069,624,442,375,318
428,972,1048,615,558,430,376,420,1696,1083,568,427,380,330
403,892,1197,571,526,457,377,384,1503,958,597,420,406,346
388,901,1334,709,545,455,386,353,1643,1274,628,412,412,329
416,809,1197,663,499,446,390,361,1450,1276,658,479,432,305
393,938,1122,591,506,456,362,351,1567,1312,592,454,397,310
413,916,1086,639,480,428,380,346,1667,1168,578,415,392,302
423,1251,1761,1662,2658,2004,788,388,1694,1453,1829,2695,1884,704
955,3307,1937,1618,2635,1992,777,802,3287,1484,1813,2675,1883,696
1265,3200,1719,1409,2298,1744,692,1126,3096,1359,1561,2336,1637,623
1963,2750,1462,1199,2017,1482,611,2042,2643,1324,1324,1966,1388,551
2907,2311,1242,1424,1981,1331,539,3045,2220,1537,1266,1942,1181,490
2675,1967,1194,1752,1971,1155,486,2789,1865,1770,1248,1898,1037,435
3172,2235,1643,1947,2097,1168,456,3119,1792,2270,1515,1927,1065,387
2826,2555,2296,2168,2109,1209,427,2755,1901,3144,1508,1763,1064,351
2389,2267,2088,2381,2317,1141,447,2315,1671,3752,1702,1987,1024,384
2015,2023,1795,2101,2107,1115,423,1928,1535,4022,1524,1798,944,360
2345,1973,1645,1961,1802,982,428,2356,1316,3514,1636,1535,822,397
2338,2176,2543,2817,1514,849,425,2617,1431,2950,2088,1296,707,365
3159,1927,2347,3271,1486,847,425,3181,1269,2459,2308,1348,684,363
3907,1686,2731,3221,1299,755,401,3912,1085,3165,2096,1184,606,340
3931,1426,3361,2975,1193,854,534,3757,1047,3841,2133,1074,706,519
3690,1690,3010,2533,1369,781,514,3212,1370,4036,1953,1098,646,507
3149,1910,2801,2218,1234,728,471,2683,1570,4083,1669,972,638,487
2825,1702,2338,2183,1062,699,426,2236,1402,4003,1410,898,566,439
2237,1862,2099,2326,966,691,495,1862,1254,3440,1556,794,554,461
2327,1648,2684,2533,882,640,467,2086,1081,2881,1383,769,524,421
2039,2070,2864,2701,904,634,428,1836,1294,3355,1736,793,518,383
2323,1870,2478,2452,807,638,470,2176,1176,3431,1562,773,620,455
2068,1650,2806,2238,719,642,502,1952,1282,3936,1580,757,582,487
2035,1400,2484,2862,893,649,451,1851,1135,3719,1426,674,537,447
1766,1380,2711,2581,874,589,423,1599,1359,3645,1371,627,524,401
1495,1373,3283,2473,919,578,414,1343,1220,3171,1508,642,546,369
1268,1374,2742,2703,825,564,389,1135,1258,2768,1510,679,502,333
1076,1486,2572,2378,795,577,417,1055,1104,2336,1550,622,527,346
917,1372,2372,2672,963,550,423,915,1043,1958,2327,933,507,374
811,1242,2328,2471,893,561,392,1043,892,2304,2150,879,491,357
704,1341,2012,2423,816,534,396,937,921,2720,1838,770,457,354
876,1189,1885,2463,718,526,379,1049,827,2422,1542,668,449,328
805,1139,1627,2300,692,486,366,931,795,2048,1378,588,438,340
1090,1112,1368,1972,673,526,385,859,779,1724,1174,570,476,336
998,1095,1782,1665,632,718,365,744,893,1740,1394,584,454,317
1334,1019,1625,1409,565,550,389,944,836,1515,1252,525,403,325
1222,1179,1901,1567,647,476,372,867,812,1459,1074,513,399,321
1525,1118,1699,1400,602,484,376,1164,976,1270,917,485,387,331
1549,1210,1457,1200,591,468,396,1182,986,1327,1131,533,397,313
