L0,L1,R0,R1
865, 3846, 923, 3873
1225, 4045, 1307, 4050
2364, 4085, 2386, 4086
3077, 3699, 3202, 3664
3891, 3122, 3916, 3088
4054, 2619, 4059, 2583
4086, 2185, 4087, 2151
3856, 1827, 3817, 1796
4047, 1531, 4039, 1504
3845, 1547, 4083, 1715
4045, 1358, 4092, 1532
4085, 1388, 4094, 1526
4093, 1220, 4094, 1334
4094, 1368, 4094, 1283
4094, 1225, 3944, 1122
4012, 1269, 3798, 1302
3884, 1117, 3342, 1170
3357, 1113, 2806, 1006
3046, 975, 2386, 857
2644, 1173, 2008, 912
2184, 1075, 1809, 815
1816, 1550, 1537, 1681
2119, 1437, 1910, 1610
1884, 2740, 1719, 2414
2459, 2792, 2072, 2382
2225, 2992, 1856, 2746
2030, 2881, 1712, 2612
1724, 2660, 1460, 2876
1587, 3035, 1397, 2599
1363, 2693, 1207, 2746
1376, 2898, 1258, 2852
1260, 2546, 1166, 2564
1181, 3026, 1132, 2798
1130, 2698, 1168, 2452
986, 2954, 1036, 2651
1076, 2594, 1012, 2324
975, 3146, 889, 2964
1029, 2817, 965, 2669
910, 2881, 857, 2995
917, 2511, 931, 2644
821, 2814, 839, 2916
938, 2484, 910, 2572
863, 2905, 810, 2700
959, 2769, 902, 2356
861, 2841, 810, 2737
969, 2794, 930, 2633
876, 3831, 854, 3802
1152, 4042, 1065, 4036
1289, 4084, 1278, 4083
2436, 4092, 2429, 4085
3082, 3562, 3237, 3517
3892, 2987, 3923, 2937
4054, 2497, 4060, 2449
4086, 2083, 4088, 2044
3998, 1749, 4093, 1707
4075, 1472, 4094, 1433
4091, 1516, 4094, 1401
4094, 1335, 4094, 1229
4094, 1331, 4094, 1317
4094, 1169, 4094, 1164
4094, 1405, 4094, 1226
4094, 1261, 4025, 1083
4094, 1242, 3992, 1243
3945, 1092, 3444, 1233
3685, 1206, 2868, 1228
3171, 1074, 2412, 1069
2657, 1089, 2018, 1011
2207, 961, 1850, 879
1853, 1789, 1582, 1519
1685, 1696, 1682, 1424
1448, 3136, 1480, 2786
1964, 2948, 1936, 2631
1792, 3384, 1761, 3167
2014, 3003, 1959, 2819
1780, 3494, 1737, 3287
1757, 3470, 1633, 2909
1538, 3152, 1405, 3088
1378, 3626, 1213, 3087
1185, 3213, 1031, 2831
1153, 3536, 1048, 3118
1009, 3108, 924, 2746
1077, 3400, 997, 3154
957, 2992, 883, 2798
876, 3433, 839, 3021
777, 3043, 791, 2652
765, 3322, 743, 3055
746, 2916, 833, 2695
668, 3412, 758, 3157
803, 3040, 842, 2793
742, 3445, 760, 3189
895, 3041, 892, 2817
826, 3449, 811, 3265
856, 3052, 917, 2893
776, 2987, 841, 3325
1204, 3873, 1185, 3941
1382, 4050, 1456, 4030
2463, 3786, 2420, 3482
2949, 3230, 3113, 2915
3865, 2706, 3898, 2430
3981, 2254, 3931, 2025
4072, 1891, 4062, 1693
4090, 1593, 4088, 1420
4094, 1464, 4093, 1465
4094, 1256, 4094, 1289
4094, 1288, 4094, 1256
4094, 1133, 4094, 1092
4094, 1403, 4094, 1335
4094, 1281, 4094, 1210
4094, 1137, 4038, 1062
4094, 1148, 4032, 1104
4010, 1018, 3480, 980
3813, 1082, 2934, 1002
3253, 970, 2446, 891
2725, 1178, 2191, 1048
2270, 1068, 1918, 942
1898, 1684, 1617, 1662
1998, 1575, 1873, 1561
1662, 1387, 1667, 1349
2326, 1587, 2109, 1744
2138, 2874, 1904, 3136
1910, 2690, 1616, 2934
1630, 2671, 1358, 3056
1557, 2867, 1341, 2683
1356, 2815, 1169, 3287
1496, 2459, 1374, 2941
1335, 2074, 1228, 2485
1656, 2694, 1513, 2917
1495, 2516, 1363, 2588
1307, 2431, 1194, 2839
1115, 2534, 1010, 2491
1051, 2846, 1044, 3039
921, 2915, 926, 2749
891, 2670, 988, 3033
790, 2634, 877, 2666
838, 2274, 950, 2245
771, 2743, 880, 2871
679, 2456, 756, 2591
906, 2887, 948, 3175
852, 2589, 878, 2839
744, 2611, 766, 3039
916, 3284, 840, 3882
1567, 3932, 1521, 4052
2470, 4062, 2656, 4086
2462, 3751, 2618, 3704
2883, 3199, 3002, 3134
3852, 2667, 3876, 2609
4046, 2233, 4051, 2303
4085, 1865, 4086, 2009
4093, 1559, 4093, 1555
4094, 1558, 4094, 1387
4094, 1370, 4094, 1179
4094, 1395, 4094, 1570
4094, 1235, 4094, 1433
4094, 1351, 4094, 1455
4094, 1202, 4094, 1275
4094, 1123, 3979, 1223
4094, 976, 4031, 1063
4078, 1060, 3483, 1228
3968, 948, 3039, 1218
3411, 822, 2549, 1126
2855, 914, 2189, 1206
2375, 840, 1865, 1164
1983, 1286, 1685, 1447
2023, 1197, 1901, 1304
1774, 1764, 1689, 1927
2349, 2069, 2142, 1981
2247, 1921, 2078, 2073
2184, 2413, 1900, 2514
1881, 2230, 1617, 2113
1927, 2818, 1818, 2100
1694, 2540, 1618, 1829
1469, 2982, 1395, 2665
1247, 2654, 1182, 2439
1141, 2245, 1046, 2074
993, 2882, 899, 2623
922, 2602, 886, 2363
938, 2812, 962, 2496
823, 2467, 827, 2184
739, 2715, 740, 2576
975, 2399, 888, 2296
900, 2034, 803, 2329
886, 2671, 882, 2559
787, 2423, 845, 2253
838, 2815, 868, 2672
755, 2506, 772, 2377
741, 2805, 705, 2633
745, 2588, 758, 2323
662, 3793, 682, 3740
1607, 4034, 1610, 4024
2631, 4082, 2648, 4080
3067, 3642, 3367, 3580
3003, 3078, 3199, 3012
3876, 2573, 3915, 2508
4051, 2153, 4059, 2083
4086, 1799, 4087, 1743
4093, 1515, 4093, 1461
4094, 1519, 4094, 1420
4094, 1327, 4094, 1219
4094, 1338, 4094, 1487
4094, 1180, 4094, 1334
4094, 1473, 3738, 1385
4094, 1337, 3990, 1221
3954, 1160, 3475, 1157
4066, 991, 3463, 1009
3695, 1255, 2988, 1141
3360, 1139, 2660, 1022
2848, 1087, 2245, 1090
2388, 1182, 2147, 1202
2000, 1051, 1844, 1136
1931, 1063, 1981, 1070
1927, 2330, 1955, 1864
2168, 2230, 1987, 1755
2146, 2029, 1973, 2002
2094, 2900, 1775, 2369
2058, 2659, 1745, 2214
2160, 3251, 1923, 2558
1893, 2911, 1691, 2262
1607, 3116, 1436, 2590
1678, 2729, 1600, 2296
1478, 2427, 1417, 2338
1442, 2843, 1390, 2504
1254, 2528, 1224, 2342
1095, 2920, 1046, 2462
950, 2593, 892, 2225
899, 3017, 975, 2398
789, 2684, 871, 2104
697, 3162, 754, 2564
623, 2818, 653, 2290
592, 2385, 657, 2490
701, 2829, 724, 2798
642, 2529, 658, 2472
831, 2795, 809, 2622
767, 2472, 744, 2300
679, 3770, 650, 3736
750, 3913, 703, 4023
1699, 4058, 1696, 4080
2583, 4087, 2691, 4092
3435, 3679, 3743, 3627
3105, 3107, 3294, 3059
3897, 2602, 3934, 2546
4055, 2167, 4062, 2116
4087, 1822, 4088, 1766
4093, 1518, 4093, 1483
4094, 1635, 4094, 1378
4094, 1455, 4094, 1186
3834, 1636, 3766, 1438
4042, 1463, 4029, 1294
3752, 1479, 3676, 1456
4026, 1295, 3993, 1286
3668, 1120, 3497, 1104
3891, 950, 3472, 942
3383, 1331, 2988, 1075
3212, 1223, 2544, 967
2740, 1112, 2124, 1184
2296, 956, 2127, 1076
1924, 825, 1859, 928
2331, 1718, 2247, 1617
2147, 1650, 2055, 1522
2193, 2278, 2043, 2281
1905, 2698, 1770, 2099
2555, 2614, 2406, 2471
2350, 2726, 2193, 2509
2009, 2621, 1871, 2335
1709, 3273, 1566, 2882
1754, 2934, 1500, 2576
1534, 3274, 1390, 2940
1346, 2886, 1238, 2601
1338, 2711, 1271, 2501
1169, 3295, 1113, 3094
1007, 2939, 945, 2775
1207, 3210, 1143, 2935
1089, 2818, 1045, 2567
945, 2940, 905, 2824
987, 2567, 934, 2483
872, 2741, 833, 2738
891, 3173, 809, 2969
795, 2672, 714, 2757
774, 3200, 751, 2769
698, 2989, 673, 2813
831, 3335, 764, 3075
756, 2952, 845, 2699
698, 3866, 729, 3815
1390, 4049, 1400, 4039
2094, 4085, 2121, 4083
3302, 3686, 3473, 3627
3549, 3103, 3928, 3053
3985, 2603, 4061, 2559
4073, 2177, 4088, 2124
4090, 1821, 4093, 1776
4094, 1534, 4094, 1481
3854, 1614, 3807, 1641
4046, 1414, 4037, 1453
3829, 1645, 3769, 1671
4041, 1468, 4029, 1488
3801, 1455, 3657, 1516
4036, 1270, 3996, 1327
3680, 1261, 3498, 1134
3956, 1111, 3510, 958
3455, 1346, 3034, 1300
3285, 1224, 2612, 1192
2815, 1275, 2192, 1351
2368, 1122, 1871, 1198
1972, 1146, 1571, 1169
2333, 1270, 2238, 1336
2085, 1840, 2047, 1735
2269, 1702, 2017, 1576
2004, 2853, 1741, 2980
2869, 2647, 2605, 2803
2621, 2892, 2407, 2964
2232, 3484, 2043, 3868
1881, 3126, 1709, 3518
1697, 3330, 1801, 3804
1449, 3056, 1582, 3539
1305, 3100, 1340, 3148
1545, 3417, 1262, 3806
1669, 3009, 1497, 3390
1489, 2933, 1349, 2980
1266, 3359, 1151, 3440
1252, 2961, 1280, 3052
1095, 3230, 1146, 3484
996, 2833, 1131, 3142
1077, 2609, 1035, 2656
965, 3389, 915, 3464
978, 3065, 1119, 3120
880, 3515, 1011, 3523
1094, 3116, 1136, 3180
1030, 2631, 1136, 2698
890, 3363, 992, 3434
