L0,L1,R0,R1
1609, 1469, 1677, 1380
1529, 1390, 1559, 1321
1413, 1374, 1414, 1364
1365, 1354, 1402, 1352
1395, 1275, 1358, 1428
1349, 1568, 1378, 1378
1308, 1503, 1333, 1306
1138, 3576, 1165, 3537
1691, 3991, 1663, 3983
1828, 4074, 1756, 4072
2973, 3856, 2858, 3809
3870, 3279, 3847, 3251
4050, 2749, 4045, 2711
4086, 2299, 4085, 2265
3865, 1914, 3793, 1889
4049, 1606, 4034, 1588
4085, 1366, 4082, 1333
4093, 1338, 4092, 1211
4094, 1166, 4094, 1039
4094, 1238, 4094, 1269
4094, 1101, 4094, 1147
4094, 1105, 4094, 1006
4094, 968, 4094, 862
3750, 863, 3621, 847
3498, 899, 3432, 893
2969, 1105, 2940, 1064
2482, 1007, 2460, 1024
2079, 876, 2044, 888
1740, 761, 1710, 772
1472, 668, 1427, 662
1244, 651, 1207, 581
1057, 1092, 1018, 1000
903, 1449, 864, 1288
895, 1360, 866, 1328
1567, 1432, 1496, 1201
1597, 1396, 1693, 1337
1400, 1272, 1500, 1436
1456, 1320, 1415, 1340
1783, 1358, 1824, 1392
1607, 1326, 1656, 1300
1679, 1349, 1645, 1352
1481, 1325, 1616, 1324
1391, 1324, 1500, 1266
1397, 1388, 1379, 1350
1391, 1374, 1400, 1256
1386, 1379, 1378, 1339
1302, 1431, 1326, 1293
1344, 1391, 1304, 1514
1334, 1414, 1379, 1354
1335, 1415, 1364, 1398
1195, 1234, 1240, 1225
1073, 1052, 1113, 1050
938, 908, 958, 894
806, 791, 814, 769
704, 3434, 706, 3429
1300, 3962, 1223, 3961
2106, 4068, 2097, 4068
3027, 3829, 3009, 3834
3881, 3270, 3877, 3255
4052, 2741, 4051, 2719
4086, 2287, 4086, 2263
4093, 1919, 4093, 1891
4094, 1612, 4094, 1577
4094, 1364, 4094, 1321
4094, 1308, 4094, 1266
4094, 1142, 4094, 1094
4094, 1222, 4094, 1103
4094, 1093, 4094, 960
3961, 1130, 3762, 1086
4068, 1002, 4028, 981
3760, 869, 3735, 853
3441, 751, 3299, 719
2921, 654, 2835, 621
2443, 583, 2337, 546
2039, 541, 2077, 500
1708, 515, 1648, 480
1442, 509, 1372, 533
1224, 698, 1148, 636
1037, 651, 976, 612
884, 723, 832, 639
768, 663, 708, 573
667, 588, 619, 513
581, 599, 536, 541
515, 542, 474, 493
462, 496, 416, 446
417, 505, 385, 457
377, 473, 338, 443
337, 458, 319, 411
333, 453, 291, 431
345, 624, 321, 587
359, 576, 373, 671
367, 522, 354, 615
349, 546, 325, 540
346, 542, 323, 568
386, 554, 318, 543
361, 511, 314, 503
342, 466, 308, 483
334, 478, 335, 454
340, 457, 315, 506
328, 575, 315, 712
355, 537, 357, 792
1051, 3383, 1019, 3434
1340, 3952, 1307, 3962
1958, 4066, 1961, 4068
2898, 3857, 2877, 3820
3855, 3285, 3851, 3252
4047, 2751, 4046, 2716
4085, 2303, 4085, 2262
4093, 1921, 4093, 1894
4094, 1610, 4094, 1583
4094, 1349, 4094, 1329
4094, 1255, 4094, 1318
4094, 1083, 4094, 1146
4094, 1205, 3774, 1225
4094, 1080, 4030, 1085
