L0,L1,R0,R1
2657, 1561, 2696, 1114
2513, 1372, 2465, 1244
2913, 1172, 2681, 1106
2592, 1180, 2357, 1123
2390, 1044, 2292, 989
2103, 1253, 2229, 957
2189, 1297, 2247, 1081
2608, 1137, 2659, 973
2333, 988, 2367, 841
2261, 849, 2338, 722
1955, 835, 2025, 770
2065, 860, 2093, 698
2105, 773, 2092, 703
1897, 689, 1813, 631
1905, 2277, 1682, 2349
1665, 3731, 1437, 3745
2193, 4022, 2172, 4025
3045, 4034, 3300, 3950
3885, 3594, 3936, 3731
3901, 3876, 4063, 4021
3381, 3384, 3683, 3512
2837, 3010, 3105, 2946
3843, 2543, 3897, 2458
3833, 2180, 3745, 2129
4042, 1852, 4025, 1793
4084, 1630, 4081, 1649
4092, 2078, 4092, 2216
4094, 2215, 4094, 2271
4002, 2215, 4048, 1969
4076, 1914, 4085, 1775
3966, 1625, 3789, 1667
4069, 1380, 4033, 1432
3841, 1158, 3791, 1285
4044, 1213, 4034, 1399
4084, 1305, 4082, 1364
4092, 1461, 4092, 1625
4094, 1283, 4094, 1460
4094, 1431, 4094, 2136
4094, 1283, 4094, 1957
4094, 1107, 4091, 1840
4000, 942, 4013, 1586
3442, 1542, 3441, 2602
3602, 1448, 3758, 2414
3190, 1261, 3297, 2072
2956, 1425, 2766, 2696
3258, 1311, 2882, 2703
2890, 1929, 2504, 2922
3287, 1788, 3640, 3416
2908, 1532, 3322, 3959
2924, 1298, 2890, 4003
2547, 1754, 2433, 3468
2138, 1671, 2101, 3969
1792, 1450, 1761, 3696
1736, 1236, 1666, 3142
1501, 1287, 1431, 2724
1413, 1148, 1467, 2288
1433, 1100, 1387, 2209
1319, 969, 1195, 1901
1673, 1064, 2017, 1628
1521, 1043, 1886, 1904
1357, 924, 1617, 1733
1181, 1159, 1522, 2069
1086, 1339, 1337, 2059
940, 1304, 1138, 2096
813, 1147, 1074, 1828
690, 1100, 936, 1543
817, 1046, 964, 1299
748, 1134, 932, 1104
661, 1023, 813, 1425
885, 879, 1095, 1534
877, 1038, 1139, 1361
776, 947, 1011, 1690
720, 828, 956, 1711
665, 712, 891, 1684
581, 705, 775, 1456
643, 631, 837, 1273
595, 559, 818, 1199
533, 624, 943, 1140
477, 689, 847, 1032
438, 647, 740, 895
410, 578, 644, 779
369, 1009, 712, 1149
646, 1679, 640, 1737
651, 1585, 684, 1774
619, 1368, 718, 1554
644, 1170, 774, 1315
588, 998, 739, 1111
524, 866, 652, 971
624, 744, 810, 1007
605, 672, 760, 1066
538, 684, 675, 950
479, 758, 587, 1028
454, 674, 635, 1065
417, 629, 578, 967
415, 593, 509, 1015
407, 623, 458, 899
374, 575, 555, 826
342, 531, 515, 746
321, 482, 472, 654
382, 560, 485, 576
416, 519, 461, 544
383, 475, 437, 552
379, 459, 457, 628
363, 451, 477, 632
376, 500, 590, 564
370, 510, 494, 501
385, 476, 532, 517
391, 433, 552, 552
376, 561, 510, 540
360, 409, 440, 624
340, 369, 408, 576
335, 403, 401, 561
314, 425, 377, 547
323, 396, 355, 583
303, 1679, 337, 1664
1043, 1985, 1098, 2191
1450, 1778, 1690, 1986
1612, 1518, 1798, 1701
2644, 1590, 2824, 1698
2927, 1406, 3471, 1484
3861, 1578, 3970, 1559
4048, 1414, 4070, 1371
4085, 1655, 4090, 1774
4093, 1487, 4094, 1612
3889, 1696, 3670, 1742
4053, 1515, 3990, 1538
3573, 1684, 3498, 1660
3866, 1575, 3649, 1683
4049, 1635, 3981, 1696
3756, 1608, 3537, 1540
3976, 1391, 3593, 1317
3468, 1514, 3108, 1400
3648, 1339, 3229, 1247
3164, 1306, 2807, 1231
3425, 1138, 3214, 1059
3011, 1230, 2838, 1187
3425, 1100, 3320, 1072
3033, 1245, 2944, 1106
3282, 1135, 3131, 979
2878, 1146, 2738, 1203
2943, 1012, 2762, 1094
2571, 1086, 2385, 1103
2930, 970, 2781, 971
2593, 1111, 2473, 1039
2913, 1000, 2800, 924
2575, 1088, 2468, 1100
2895, 979, 2727, 988
2552, 1052, 2407, 1044
2863, 3486, 2696, 3484
2845, 3973, 2852, 3972
2463, 4041, 2490, 3787
2311, 3613, 2310, 3835
3738, 3489, 3738, 3481
3642, 3917, 3666, 3909
3134, 3449, 3146, 3446
3902, 2905, 3905, 2897
4056, 2429, 4057, 2572
4087, 2035, 4087, 2037
3858, 1701, 3797, 1753
4047, 1974, 4035, 2055
4085, 2046, 4083, 1912
3845, 2194, 3947, 2008
4045, 1927, 4065, 1756
4017, 1639, 4017, 1491
4079, 1383, 4079, 1254
4091, 1203, 4091, 1154
4094, 1159, 4094, 1341
3805, 1050, 3794, 1305
4037, 1111, 4034, 1343
4083, 994, 4082, 1335
4092, 999, 4092, 1224
4094, 1004, 4094, 1119
4094, 1252, 4094, 1835
4094, 1136, 4094, 1705
4047, 1139, 3802, 2335
3875, 1007, 3714, 2133
3315, 980, 3194, 1821
3695, 1155, 3514, 1966
3527, 1215, 3682, 1738
3759, 1175, 3634, 1886
4027, 1029, 4002, 2093
3885, 1478, 3785, 2354
3997, 1490, 3705, 3059
3478, 1680, 3174, 2994
3463, 1855, 2971, 2818
2988, 1674, 2522, 2731
2513, 1480, 2195, 2565
2094, 1487, 1846, 2455
2029, 1305, 1920, 2282
1756, 1121, 1683, 1946
1995, 961, 1935, 1644
1771, 1000, 1714, 1401
2048, 932, 1900, 1187
1829, 971, 1683, 1186
1842, 872, 1759, 1130
1614, 849, 1545, 1186
1445, 1041, 1322, 1394
1243, 1089, 1117, 1482
1175, 972, 986, 1311
1180, 923, 933, 1609
1062, 1136, 956, 1795
985, 1252, 882, 1833
856, 1168, 874, 1817
834, 1020, 840, 1580
746, 892, 738, 1341
658, 777, 790, 1127
591, 679, 710, 1066
563, 697, 651, 1005
515, 631, 573, 878
529, 559, 656, 756
486, 653, 605, 1008
574, 662, 679, 1043
539, 692, 619, 952
619, 716, 731, 965
575, 641, 667, 849
623, 1109, 711, 1551
723, 1762, 847, 2043
706, 1643, 781, 1863
634, 1427, 680, 1595
738, 1212, 760, 1344
778, 1041, 876, 1132
794, 890, 800, 966
708, 762, 690, 857
